project	frequency
spring-batch-test	5
spring-boot-starter-parent	5
tycho-p2-publisher-plugin	5
util-taglib	5
discovery	5
jmte	5
rake	5
oscore	5
abdera-core	5
tagapi	5
launcher	5
dbcp	5
event	5
jetty-ajp	5
hawtdispatch-transport	5
tomcat	5
sonar-testing-harness	5
doclet	5
netty-codec	5
aether-connector-asynchttpclient	5
axis2-adb	5
appframework	5
olap4j-xmla	5
jboss-security-spi	5
engine	5
xmlenc	5
acegi-security	5
urlrewrite	5
docbook-xsl	5
tomcat-util	5
bitcoinj	5
hadoop-lzo	5
mule-module-cxf	5
jenkins	5
seam-international	5
jgoodies-forms	5
esapi	5
mailer	5
wro4j-extensions	5
gt-jdbc-postgis	5
libloader	5
imageio-ext-tiff	5
util-java	5
crouton	5
jsqlparser	5
spi	5
jbossws-spi	5
filesystem	5
ws-commons-util	5
projects	5
neo4j-rest-graphdb	5
infinispan-lucene-directory	5
classworlds	5
sonar-plugin-api	5
parent-sample	5
cal10n-api	5
regexp	5
gt-opengis	5
thumbnailator	5
swing-worker	5
camel-ftp	5
JUnitParams	5
jflex	5
unoil	5
ant-optional	5
concordion	5
xwiki-commons-tool-xar-plugin	5
analysis-test	5
javatar	5
picketlink-core	5
dropwizard-views	5
kafka	5
switchyard-parent	5
wicket-guice	5
jargs	5
soap	5
bndlib	5
xwiki-commons-test-component	5
FastInfoset	5
cas-server-core	5
camel-mvel	5
cxf-rt-bindings-xml	5
grizzly-http-server	5
jboss-logging-generator	5
jclouds-bouncycastle	5
camel-test-spring	5
flume-ng-core	5
spring-integration-xml	5
juel-api	5
grails-test	5
geronimo-transaction	5
cxf-rt-transports-jms	5
hornetq-jms	5
voldemort	5
sample-demos	5
juel-impl	5
lucene-codecs	5
forbiddenapis	5
shindig-common	5
automaton	5
gluegen-rt	5
xmlrpc	5
hive-contrib	5
hapi-structures-v25	5
neo4j-cypher-dsl	5
jboss-remote-naming	5
p6spy	5
truezip	5
httpclient-osgi	5
jsf-mock	5
metainf-services	5
metrics-jersey	5
pac4j-core	5
cas-server-webapp	5
ironjacamar-spec-api	5
cxf-services-sts-core	5
Multiverse-Portals	5
sesame-util	5
camel-xstream	5
tapestry-javadoc	5
struts-el	5
jbpm-workitems	5
axis-saaj	5
hive-shims	5
true	5
log4j-jboss-logmanager	5
appengine-api-1	5
jsr173_api	5
shared-ldap	5
protostuff-core	5
jbossws-native-core	5
xwiki-commons-script	5
jboss-as-ee	5
retrotranslator-runtime	5
jira-api	5
rest	5
